Date,Open,High,Low,Close,Adj Close,Volume
2022-01-27,9.890000,9.895000,9.870000,9.895000,9.895000,900
2022-01-28,9.880000,9.880000,9.880000,9.880000,9.880000,100
2022-01-31,9.890000,9.925000,9.890000,9.925000,9.925000,7100
2022-02-01,9.925000,9.925000,9.925000,9.925000,9.925000,0
2022-02-02,9.900000,9.901000,9.900000,9.901000,9.901000,2200
2022-02-03,9.880000,9.950000,9.880000,9.950000,9.950000,200
2022-02-04,9.920000,9.920000,9.905000,9.905000,9.905000,400
2022-02-07,9.910000,9.910000,9.910000,9.910000,9.910000,300
2022-02-08,9.900000,9.910000,9.900000,9.910000,9.910000,84200
2022-02-09,9.910000,9.910000,9.910000,9.910000,9.910000,10200
2022-02-10,9.920000,9.940000,9.910000,9.910000,9.910000,1100
2022-02-11,9.920000,9.920000,9.910000,9.911000,9.911000,300
2022-02-14,9.910000,9.910000,9.910000,9.910000,9.910000,2100
2022-02-15,9.910000,9.910000,9.910000,9.910000,9.910000,2500
2022-02-16,9.900000,9.910000,9.900000,9.900000,9.900000,369000
2022-02-17,9.920000,9.920000,9.900000,9.900000,9.900000,3700
2022-02-18,9.950000,9.950000,9.950000,9.950000,9.950000,200
2022-02-22,9.930000,9.930000,9.930000,9.930000,9.930000,5100
2022-02-23,9.900000,9.900000,9.900000,9.900000,9.900000,39400
2022-02-24,9.900000,9.900000,9.900000,9.900000,9.900000,45000
2022-02-25,9.900000,9.930000,9.900000,9.900000,9.900000,56300
2022-02-28,9.910000,9.910000,9.910000,9.910000,9.910000,1500
2022-03-01,9.910000,9.930000,9.910000,9.920000,9.920000,7900
2022-03-02,9.920000,9.920000,9.920000,9.920000,9.920000,0
2022-03-03,9.920000,9.920000,9.920000,9.920000,9.920000,0
2022-03-04,9.920000,9.920000,9.920000,9.920000,9.920000,200
2022-03-07,9.930000,9.930000,9.910000,9.920000,9.920000,1098400
2022-03-08,9.915000,9.920000,9.900000,9.910000,9.910000,395300
2022-03-09,9.910000,9.925000,9.900000,9.920000,9.920000,21000
2022-03-10,9.930000,10.080000,9.903000,9.910000,9.910000,319200
2022-03-11,9.910000,9.940000,9.910000,9.920000,9.920000,209200
2022-03-14,9.930000,9.930000,9.920000,9.920000,9.920000,29300
2022-03-15,9.930000,10.330000,9.910000,9.922000,9.922000,69000
2022-03-16,9.930000,9.930000,9.930000,9.930000,9.930000,19000
2022-03-17,9.930000,9.930000,9.910000,9.910000,9.910000,28500
2022-03-18,9.910000,9.910000,9.910000,9.910000,9.910000,0
2022-03-21,9.930000,9.930000,9.910000,9.910000,9.910000,16000
2022-03-22,9.940000,9.940000,9.920000,9.920000,9.920000,3300
2022-03-23,9.930000,9.930000,9.930000,9.930000,9.930000,8400
2022-03-24,9.930000,9.930000,9.925000,9.925000,9.925000,19400
2022-03-25,9.930000,9.936000,9.930000,9.936000,9.936000,5600
2022-03-28,9.920000,9.920000,9.920000,9.920000,9.920000,200
2022-03-29,9.920000,9.931000,9.920000,9.931000,9.931000,800
2022-03-30,9.930000,9.945000,9.930000,9.940000,9.940000,384000
2022-03-31,9.950000,9.980000,9.940000,9.950000,9.950000,57500
2022-04-01,9.960000,9.960000,9.960000,9.960000,9.960000,300
2022-04-04,9.960000,9.960000,9.960000,9.960000,9.960000,0
2022-04-05,9.960000,9.960000,9.960000,9.960000,9.960000,0
2022-04-06,9.950000,9.954000,9.950000,9.954000,9.954000,800
2022-04-07,9.955000,9.955000,9.955000,9.955000,9.955000,500
2022-04-08,9.955000,9.955000,9.955000,9.955000,9.955000,0
2022-04-11,9.955000,9.955000,9.955000,9.955000,9.955000,0
2022-04-12,9.970000,9.970000,9.950000,9.950000,9.950000,1000
2022-04-13,9.960000,9.960000,9.955000,9.960000,9.960000,2900
2022-04-14,9.960000,9.960000,9.950000,9.960000,9.960000,5700
2022-04-18,9.960000,9.960000,9.960000,9.960000,9.960000,25300
2022-04-19,10.000000,10.000000,9.970000,9.970000,9.970000,800
2022-04-20,9.960000,9.960000,9.960000,9.960000,9.960000,200
2022-04-21,9.970000,9.970000,9.970000,9.970000,9.970000,500
2022-04-22,9.960000,9.960000,9.960000,9.960000,9.960000,200
2022-04-25,9.960000,9.960000,9.960000,9.960000,9.960000,32100
2022-04-26,9.970000,9.970000,9.970000,9.970000,9.970000,700
2022-04-27,9.970000,9.975000,9.970000,9.975000,9.975000,21400
2022-04-28,9.975000,9.975000,9.970000,9.970000,9.970000,400
2022-04-29,9.970000,9.970000,9.970000,9.970000,9.970000,0
2022-05-02,10.000000,10.000000,9.970000,9.970000,9.970000,1000
2022-05-03,9.970000,9.970000,9.955000,9.970000,9.970000,178400
2022-05-04,9.960000,9.980000,9.960000,9.970000,9.970000,235700
2022-05-05,9.970000,9.980000,9.970000,9.980000,9.980000,5500
2022-05-06,9.980000,9.980000,9.970000,9.980000,9.980000,25600
2022-05-09,9.980000,9.980000,9.975000,9.980000,9.980000,1100
2022-05-10,9.980000,10.000000,9.980000,9.990000,9.990000,1700
2022-05-11,9.980000,9.980000,9.970000,9.970000,9.970000,65700
2022-05-12,9.980000,9.980000,9.965000,9.965000,9.965000,41100
2022-05-13,9.965000,9.965000,9.965000,9.965000,9.965000,0
2022-05-16,9.980000,9.980000,9.970000,9.970000,9.970000,9900
2022-05-17,9.970000,9.970000,9.970000,9.970000,9.970000,4000
2022-05-18,9.970000,9.970000,9.970000,9.970000,9.970000,512400
2022-05-19,9.970000,9.970000,9.970000,9.970000,9.970000,22200
2022-05-20,9.970000,9.980000,9.970000,9.970000,9.970000,11400
2022-05-23,9.970000,9.970000,9.970000,9.970000,9.970000,4400
2022-05-24,9.970000,9.970000,9.970000,9.970000,9.970000,1100
2022-05-25,9.980000,9.980000,9.980000,9.980000,9.980000,100100
2022-05-26,9.980000,9.980000,9.980000,9.980000,9.980000,199200
2022-05-27,9.980000,9.980000,9.970000,9.970000,9.970000,4100
2022-05-31,9.980000,9.980000,9.970000,9.970000,9.970000,106400
2022-06-01,9.980000,9.985000,9.980000,9.982000,9.982000,77400
2022-06-02,9.980000,9.980000,9.980000,9.980000,9.980000,6600
2022-06-03,9.980000,9.990000,9.980000,9.980000,9.980000,170300
2022-06-06,9.980000,9.982000,9.970000,9.980000,9.980000,27200
2022-06-07,9.970000,9.980000,9.970000,9.970000,9.970000,2100
2022-06-08,9.990000,9.990000,9.980000,9.980000,9.980000,378000
2022-06-09,9.990000,9.990000,9.990000,9.990000,9.990000,1000
